,loss,mae,rmse,class_0_rmse,class_1_rmse,class_2_rmse,class_3_rmse,class_4_rmse,class_5_rmse,val_loss,val_mae,val_rmse,val_class_0_rmse,val_class_1_rmse,val_class_2_rmse,val_class_3_rmse,val_class_4_rmse,val_class_5_rmse
0,1.4550757393836975,0.8941519856452942,1.1815706491470337,0.9550127387046814,0.9310392737388611,1.3072962760925293,1.3534289598464966,0.4801335334777832,1.9227306842803955,0.5740862627481592,0.5410382747650146,0.7077979445457458,0.6822578310966492,0.4885747730731964,0.6067928075790405,0.4719559848308563,0.07720425724983215,0.9667276740074158
1,0.866445198059082,0.7058036923408508,0.924068808555603,0.7592331171035767,0.7322871685028076,1.0439033508300781,1.054888129234314,0.3133247196674347,1.2463512420654297,0.6361141138035675,0.601326584815979,0.7690230011940002,0.7471179366111755,0.4946367144584656,0.5101608037948608,0.37880703806877136,0.07495538890361786,0.8179500699043274
2,0.6499413230419159,0.6216132044792175,0.8006846308708191,0.6544785499572754,0.6317979097366333,0.9248103499412537,0.7996983528137207,0.2708987891674042,1.046634316444397,0.4693957608321617,0.489732950925827,0.6470484733581543,0.597664475440979,0.4358738958835602,0.5079553127288818,0.38475772738456726,0.07987990975379944,0.8006674647331238
3,0.559741952419281,0.5787369012832642,0.7425668835639954,0.5963955521583557,0.6057690978050232,0.8791178464889526,0.7675643563270569,0.1934366524219513,0.9581518769264221,0.4302122351424447,0.39717307686805725,0.5993415713310242,0.5234396457672119,0.4817356765270233,0.5337421298027039,0.46304282546043396,0.08259370923042297,0.8045859336853027
4,0.48324563109874724,0.5423797965049744,0.689153254032135,0.5949786901473999,0.595227837562561,0.8371257781982422,0.6512261033058167,0.1633566915988922,0.8403775095939636,0.4143995249579693,0.36826202273368835,0.5762786865234375,0.4988468289375305,0.46828004717826843,0.5745416879653931,0.4749271273612976,0.08340694010257721,0.8713430166244507
5,0.4381218588352203,0.5150803923606873,0.6573676466941833,0.5597123503684998,0.5644879341125488,0.8006768226623535,0.6504732370376587,0.15926063060760498,0.8489130139350891,0.4195584837218811,0.36272555589675903,0.5778307914733887,0.49483534693717957,0.488647997379303,0.5631313920021057,0.47608205676078796,0.08233868330717087,0.8755996823310852
6,0.3861989321708679,0.48541542887687683,0.6174108982086182,0.5626985430717468,0.5696039199829102,0.7998385429382324,0.6140953302383423,0.14605461061000824,0.7466725707054138,0.43131467622929603,0.3766562044620514,0.5915622711181641,0.5394241809844971,0.48771390318870544,0.5563355088233948,0.4695761799812317,0.08253567665815353,0.883551299571991
7,0.35481894910335543,0.4594537019729614,0.5915639400482178,0.4624493718147278,0.4785770773887634,0.6825262904167175,0.5043167471885681,0.15681929886341095,0.6454011797904968,0.46217145411104993,0.39327043294906616,0.6136348247528076,0.5647482872009277,0.4660113751888275,0.55958491563797,0.5109295845031738,0.08078668266534805,0.9157338738441467
8,0.32883545696735383,0.444212943315506,0.5697869062423706,0.465009480714798,0.4758436679840088,0.6515232920646667,0.5684680342674255,0.17455029487609863,0.5520308613777161,0.42694084731669263,0.37595972418785095,0.5935611724853516,0.5240258574485779,0.461613267660141,0.5311892032623291,0.46166497468948364,0.07900858670473099,0.8661280870437622
9,0.313118155002594,0.42430561780929565,0.5546545386314392,0.4704081416130066,0.4839259088039398,0.6457890272140503,0.5561778545379639,0.15431152284145355,0.604531466960907,0.398227625365915,0.336152583360672,0.5629833340644836,0.48821601271629333,0.48627156019210815,0.5403127670288086,0.4934084415435791,0.081156887114048,0.8568576574325562
10,0.29332359445095063,0.4094659090042114,0.5372765064239502,0.45588135719299316,0.4840889871120453,0.6240652799606323,0.5435732007026672,0.12376278638839722,0.6654250621795654,0.4453855737529952,0.3585658669471741,0.5972104072570801,0.5279068946838379,0.47478675842285156,0.4993080794811249,0.49600470066070557,0.07864702492952347,0.878675639629364
