,loss,mae,rmse,class_0_rmse,class_1_rmse,class_2_rmse,class_3_rmse,class_4_rmse,val_loss,val_mae,val_rmse,val_class_0_rmse,val_class_1_rmse,val_class_2_rmse,val_class_3_rmse,val_class_4_rmse
75,0.1109992011487484,0.2007445991039276,0.32139870524406433,0.2274746596813202,0.11705412715673447,0.25846588611602783,0.3397901952266693,0.39178451895713806,1.066685323913892,0.5897932648658752,0.9930856227874756,0.8711289763450623,0.9103450775146484,0.0,0.0,0.0
76,0.11167141641676426,0.19984349608421326,0.32124173641204834,0.2631269693374634,0.13665197789669037,0.2990260422229767,0.3906506896018982,0.43138498067855835,0.47736171219084,0.3386255204677582,0.6659268140792847,0.6254501342773438,0.5813623666763306,0.0,0.0,0.0
77,0.09893043690919875,0.19626590609550476,0.3062956631183624,0.20725125074386597,0.15092232823371887,0.2508338689804077,0.3239915370941162,0.371427059173584,0.3107614947689904,0.27948495745658875,0.5521408915519714,0.5187857747077942,0.5801417231559753,0.0,0.0,0.0
78,0.10300501480698586,0.1996113359928131,0.3122630715370178,0.2079448252916336,0.13620522618293762,0.2577490508556366,0.3340967297554016,0.3727761507034302,0.6700703601042429,0.41233184933662415,0.7831470966339111,0.6888797283172607,0.656998336315155,0.0,0.0,0.0
79,0.10219388002157212,0.19708621501922607,0.3101024031639099,0.23057304322719574,0.10754504054784775,0.268865704536438,0.36105769872665405,0.39308464527130127,0.45013836854034,0.32486042380332947,0.6552588939666748,0.6007771492004395,0.5741385221481323,0.0,0.0,0.0
80,0.11117360517382621,0.20667776465415955,0.321794331073761,0.21641862392425537,0.13404957950115204,0.2597387135028839,0.3404900133609772,0.39032241702079773,0.5088173589772649,0.3802408277988434,0.6896054148674011,0.6284785270690918,0.5997650027275085,0.0,0.0,0.0
81,0.09826107719540596,0.1937219798564911,0.30414992570877075,0.21313315629959106,0.12161897867918015,0.24235576391220093,0.33918002247810364,0.36140137910842896,0.6215482801198959,0.3957383930683136,0.7624927759170532,0.6955679059028625,0.6419072151184082,0.0,0.0,0.0
82,0.09431101676821708,0.19014960527420044,0.29707568883895874,0.2160513550043106,0.12926411628723145,0.2549636960029602,0.3218441903591156,0.4072263538837433,0.7386116749710507,0.4716559052467346,0.8255664706230164,0.7359843254089355,0.7176291942596436,0.0,0.0,0.0
83,0.10840547074377536,0.20302879810333252,0.31736451387405396,0.2347034215927124,0.13210736215114594,0.27110162377357483,0.34920117259025574,0.3926559388637543,0.5438079718086455,0.3703254163265228,0.7088252305984497,0.6459324955940247,0.6159317493438721,0.0,0.0,0.0
84,0.09598644532263279,0.19680628180503845,0.30033013224601746,0.20827920734882355,0.13213980197906494,0.24171499907970428,0.3231948912143707,0.37205836176872253,0.41042109744416344,0.33149418234825134,0.6232035160064697,0.5802684426307678,0.569179356098175,0.0,0.0,0.0
85,0.10644746801257134,0.1982043981552124,0.3137478232383728,0.20584386587142944,0.12074895203113556,0.25038886070251465,0.3207784593105316,0.3774614632129669,0.43411196106010014,0.36013922095298767,0.646976888179779,0.5964526534080505,0.6246989369392395,0.0,0.0,0.0
86,0.09727533602714539,0.19008728861808777,0.3019298017024994,0.23315440118312836,0.11695687472820282,0.2648336589336395,0.3230438232421875,0.40623238682746887,0.25077058540450203,0.2742162346839905,0.4991811215877533,0.4855629503726959,0.4850071370601654,0.0,0.0,0.0
87,0.09882702416181564,0.1935712695121765,0.3048917055130005,0.2107733190059662,0.15186470746994019,0.2511022984981537,0.3123312294483185,0.37277016043663025,0.4596559893753793,0.3431684374809265,0.6538022756576538,0.5956835150718689,0.5770972371101379,0.0,0.0,0.0
88,0.09719128535687924,0.19023513793945312,0.30035996437072754,0.20756283402442932,0.11346971988677979,0.2550916075706482,0.3071584701538086,0.38465481996536255,0.7241006013419893,0.4315069317817688,0.8127314448356628,0.7012916207313538,0.6849404573440552,0.0,0.0,0.0
89,0.08700951185822486,0.187100350856781,0.2869950532913208,0.20873263478279114,0.11958057433366776,0.2559419274330139,0.319008469581604,0.3754514157772064,0.397276360127661,0.3057287931442261,0.609591007232666,0.5547108054161072,0.5440549254417419,0.0,0.0,0.0
90,0.0936296662390232,0.19170038402080536,0.2962254583835602,0.2222907394170761,0.13289090991020203,0.2625539302825928,0.33823662996292114,0.3607981204986572,0.7398058084977998,0.43314608931541443,0.8152813911437988,0.733310878276825,0.6816903948783875,0.0,0.0,0.0
91,0.10298097768425941,0.196576327085495,0.31198686361312866,0.21893200278282166,0.1413331776857376,0.24913620948791504,0.33264783024787903,0.3862808346748352,0.44246149559815723,0.3277794122695923,0.6455551981925964,0.5987188220024109,0.5738457441329956,0.0,0.0,0.0
92,0.09224895364046097,0.18874205648899078,0.2938309907913208,0.18930090963840485,0.10560280829668045,0.2270493507385254,0.3030528128147125,0.33971384167671204,0.2891019682089488,0.2896122634410858,0.5333734750747681,0.5095001459121704,0.5489233732223511,0.0,0.0,0.0
93,0.09252238644659519,0.18582287430763245,0.2924383580684662,0.2219909280538559,0.11408369243144989,0.2427336722612381,0.3203565776348114,0.371143639087677,0.5933313791950544,0.3976729214191437,0.7462283968925476,0.6690478920936584,0.6317247152328491,0.0,0.0,0.0
94,0.09727775532007217,0.19386574625968933,0.3015647530555725,0.20329409837722778,0.1180555447936058,0.24091319739818573,0.3186247646808624,0.357997328042984,0.7625851962301466,0.4656675457954407,0.8386189341545105,0.7687048316001892,0.6943843364715576,0.0,0.0,0.0
95,0.09128984594345092,0.19190861284732819,0.29350653290748596,0.21880687773227692,0.14146585762500763,0.2568970322608948,0.32542261481285095,0.3672284185886383,0.3862636842661434,0.3040800988674164,0.6073840260505676,0.5535646677017212,0.5516959428787231,0.0,0.0,0.0
96,0.08948870804905891,0.18655386567115784,0.2912920415401459,0.212327241897583,0.15293774008750916,0.2392926961183548,0.3089357316493988,0.33309197425842285,0.40463555521435207,0.2982722818851471,0.61580890417099,0.5644970536231995,0.5538572669029236,0.0,0.0,0.0
97,0.09340317136049271,0.18923912942409515,0.2947768270969391,0.20341739058494568,0.1298900544643402,0.23697707056999207,0.3147110342979431,0.32841193675994873,0.29986176474226844,0.3090827465057373,0.5408245921134949,0.5241075158119202,0.5218864679336548,0.0,0.0,0.0
