,loss,binary_accuracy,brier_score
0,0.09044460071406017,0.7320420742034912,0.1785070300102234
1,0.027693740325048566,0.7419704794883728,0.17876285314559937
2,0.02436212637177151,0.7658962607383728,0.1711985468864441
3,0.023127408562383305,0.7760959267616272,0.16776707768440247
4,0.020721439582606156,0.7984483242034912,0.15590046346187592
5,0.02097491916760595,0.8037109375,0.15379928052425385
6,0.020146593774875834,0.81298828125,0.15136004984378815
7,0.01926137450047665,0.8233506679534912,0.14633651077747345
8,0.018769270164840337,0.8285590410232544,0.14224201440811157
9,0.018648016460550327,0.8301323652267456,0.14259828627109528
10,0.017700295300326414,0.8350694179534912,0.13598814606666565
11,0.017483343221505895,0.8395182490348816,0.1344699114561081
12,0.01623382467854147,0.85107421875,0.1277865618467331
13,0.01677568659134623,0.8498806357383728,0.12833844125270844
14,0.016225786025946338,0.8564995527267456,0.12494829297065735
15,0.015668262843973935,0.8603515625,0.12184736132621765
16,0.015276117043362724,0.8599717617034912,0.11924171447753906
17,0.014865546480804268,0.8637152910232544,0.1171121895313263
18,0.014362143989678266,0.8702799677848816,0.1135736033320427
19,0.014175761895280125,0.8786892294883728,0.11023326963186264
20,0.014248416157594571,0.8687065839767456,0.11207862943410873
21,0.01302723707825256,0.8822699785232544,0.10491462051868439
22,0.013635542318095557,0.8797200322151184,0.10480339080095291
23,0.013266584460830523,0.8774956464767456,0.10434863716363907
24,0.012718526093522087,0.8872612714767456,0.10088081657886505
25,0.01213529699210388,0.8943142294883728,0.09683173894882202
26,0.011825845803185884,0.8943142294883728,0.09451709687709808
27,0.012078841957392998,0.892578125,0.09409916400909424
28,0.012249008286744356,0.8894856572151184,0.09600158780813217
29,0.01117340948419749,0.9024522304534912,0.08866002410650253
30,0.011067231176032996,0.9038628339767456,0.08733496814966202
31,0.010145492405475428,0.91357421875,0.08185948431491852
32,0.010494746148146482,0.9060329794883728,0.08401968330144882
33,0.010398817487940606,0.9092339277267456,0.08180955052375793
34,0.010337503513761072,0.9120008945465088,0.08191902935504913
35,0.00999710661967078,0.9127061367034912,0.0802793800830841
36,0.009316771743922599,0.9201388955116272,0.07516360282897949
37,0.009652866060302282,0.9159613847732544,0.0772029235959053
38,0.009017852403404605,0.92138671875,0.07401413470506668
39,0.008763450472745009,0.92578125,0.07107926905155182
40,0.00915827477324961,0.9215494990348816,0.07331695407629013
41,0.008742665154083321,0.9221462607383728,0.0706079974770546
42,0.008097173406794254,0.93212890625,0.06715674698352814
43,0.007843334022456676,0.93212890625,0.06524575501680374
44,0.008226789123404564,0.9290364384651184,0.06581327319145203
45,0.007881139139903503,0.9341362714767456,0.06377806514501572
46,0.007676771723911063,0.9331597089767456,0.06358359009027481
47,0.007591443644034573,0.9362521767616272,0.06125780567526817
48,0.0076145342447691495,0.9347330927848816,0.06312936544418335
49,0.00766587613907177,0.9356011152267456,0.06302057951688766
50,0.0073461958090774715,0.9366319179534912,0.06138499081134796
51,0.007238195877612775,0.9381510615348816,0.06044425070285797
52,0.007097021220639969,0.9381510615348816,0.059673674404621124
53,0.006988938668251244,0.9417860507965088,0.05828388035297394
54,0.006889081024888178,0.9397243857383728,0.05701355263590813
55,0.0068295274088288555,0.9409722089767456,0.05735347792506218
56,0.0066896059627955156,0.9433051347732544,0.05585452541708946
57,0.006581260140390239,0.9437391757965088,0.05549909546971321
58,0.006126201153771642,0.9475911259651184,0.05327530950307846
59,0.006206186879555591,0.9472113847732544,0.053037673234939575
60,0.0067033991152938045,0.9450412392616272,0.05425451323390007
61,0.006556413346616965,0.9447699785232544,0.054836906492710114
62,0.006310084351247901,0.9451497197151184,0.053783781826496124
63,0.006340492841748831,0.9482964277267456,0.05306682363152504
64,0.006313839639511166,0.9453667402267456,0.053367339074611664
65,0.0059062290222047726,0.9493272304534912,0.05229567363858223
66,0.006041235513597106,0.9524196982383728,0.05145495384931564
67,0.006188548186198912,0.9471571445465088,0.05316636711359024
68,0.006076281838532951,0.9484049677848816,0.05176110193133354
69,0.006184468262492576,0.9497612714767456,0.051815591752529144
70,0.00620042876916058,0.9494900107383728,0.05248033255338669
71,0.005911808886190152,0.9474284052848816,0.052510593086481094
72,0.00608347010145533,0.9481879472732544,0.052340079098939896
73,0.006141538590276873,0.9501953125,0.05217090994119644
74,0.005875289404583681,0.9478623867034912,0.05181191861629486
