,loss,mae,rmse,filter_0_rmse,val_loss,val_mae,val_rmse,val_filter_0_rmse
71,0.27607263550162314,0.3539775311946869,0.5097043514251709,0.46379947662353516,0.9342161748144362,0.5074769854545593,0.9284942150115967,1.522558331489563
72,0.26505355599025887,0.3473416864871979,0.4999237358570099,0.4392380118370056,1.1181515985065036,0.6692383289337158,1.040036678314209,1.5578789710998535
73,0.29539584591984747,0.3652203679084778,0.5265312790870667,0.4535699188709259,1.0305716825856104,0.5538129210472107,0.9849494099617004,1.6234601736068726
74,0.2706963174045086,0.35169076919555664,0.5061495900154114,0.4372149705886841,1.0497668931881587,0.5685827732086182,0.997816801071167,1.623542308807373
75,0.2534899700433016,0.3370112180709839,0.4889291524887085,0.41227930784225464,1.1388746599356334,0.6529500484466553,1.0496293306350708,1.7473279237747192
76,0.2673188955833515,0.35611599683761597,0.5003908276557922,0.4350212812423706,1.0854789879586961,0.5753476619720459,1.0114021301269531,1.6682311296463013
77,0.26954816517730557,0.35098040103912354,0.502302885055542,0.4283980131149292,0.9549081606997384,0.4165838062763214,0.9126213788986206,1.7353448867797852
78,0.315491309016943,0.3844603896141052,0.5454657673835754,0.4923346936702728,0.9726162917084165,0.4031261205673218,0.918832540512085,1.7235621213912964
79,0.3041787357379993,0.37713852524757385,0.5357266664505005,0.48615044355392456,0.9981886363691754,0.4713781774044037,0.9428727030754089,1.6063551902770996
80,0.26441769351561867,0.3415657877922058,0.49691304564476013,0.436829149723053,0.9838586317168342,0.4521368443965912,0.9401214122772217,1.730435848236084
81,0.2480220333362619,0.33485761284828186,0.4840504229068756,0.43285566568374634,0.9908459600475099,0.5572099685668945,0.9658355712890625,1.671282410621643
82,0.23311880740026633,0.3214402496814728,0.46755173802375793,0.4306122660636902,0.9584046353896459,0.5034740567207336,0.9423160552978516,1.6277368068695068
83,0.23979660471280415,0.32265615463256836,0.47263702750205994,0.38942277431488037,0.9435387121306525,0.49622854590415955,0.9338710308074951,1.7197933197021484
84,0.23489549476653337,0.3274115025997162,0.4660317599773407,0.4279399514198303,1.012954678800371,0.5537652969360352,0.9777361750602722,1.6101994514465332
85,0.21674070451408625,0.3090458810329437,0.44929182529449463,0.39992520213127136,0.9978358712461259,0.560455322265625,0.9695250391960144,1.6578415632247925
86,0.24323684001962345,0.32014232873916626,0.47816261649131775,0.40890243649482727,0.9978499561548233,0.5594484806060791,0.9688873291015625,1.7302536964416504
87,0.2384931861112515,0.32675695419311523,0.47355523705482483,0.4509381055831909,0.979175274570783,0.543045163154602,0.9591392874717712,1.5731430053710938
88,0.2134489793330431,0.306670218706131,0.44639867544174194,0.392325222492218,1.000224898258845,0.44313251972198486,0.9326343536376953,1.6638363599777222
89,0.23986050728708505,0.3246263563632965,0.4705089330673218,0.41515180468559265,0.9188513308763504,0.44020140171051025,0.9083921909332275,1.5890188217163086
90,0.22003910094499587,0.30974096059799194,0.45377933979034424,0.39144042134284973,1.0081298649311066,0.5539611577987671,0.9758367538452148,1.6410542726516724
91,0.21436172910034657,0.3088544011116028,0.448140025138855,0.3901043236255646,0.966586109664705,0.5101984739303589,0.9399597644805908,1.5361475944519043
92,0.19814564647773902,0.2916240096092224,0.4306740164756775,0.3757459223270416,1.0334702846076753,0.5743998885154724,0.9912216663360596,1.6427958011627197
93,0.21011906589070956,0.3025828003883362,0.442748099565506,0.3802706003189087,1.0066234933005438,0.5149678587913513,0.963756799697876,1.6890829801559448
94,0.1961497257774075,0.28559762239456177,0.42661476135253906,0.36878150701522827,0.9868051211039225,0.5393869876861572,0.9596776962280273,1.7601361274719238
95,0.19259780359764894,0.2942572832107544,0.4249730110168457,0.3734520375728607,0.9486693541208903,0.44059494137763977,0.9156935214996338,1.699509620666504
96,0.25242037462691463,0.32106485962867737,0.4788435995578766,0.39934873580932617,1.1920608811908298,0.7159731984138489,1.0754286050796509,1.8204370737075806
97,0.24517672769725324,0.3312264084815979,0.4772140681743622,0.417906790971756,0.9626804292201996,0.44975975155830383,0.9296883344650269,1.6428391933441162
98,0.18577990469833214,0.2817195653915405,0.4169415831565857,0.33835944533348083,0.9889551566706763,0.5181370377540588,0.9614396691322327,1.7098852396011353
99,0.16952346774439017,0.26851686835289,0.3978695273399353,0.37088924646377563,1.0297519117593765,0.5065059661865234,0.980341911315918,1.8074902296066284
100,0.17458585407584906,0.26987871527671814,0.40251424908638,0.3549639582633972,0.9109497335222032,0.472473680973053,0.9209222793579102,1.6336102485656738
101,0.15812801718711852,0.26387250423431396,0.38576918840408325,0.32312142848968506,0.9237915277481079,0.5082376599311829,0.9297598600387573,1.627830147743225
102,0.17854436325530212,0.274186909198761,0.4087578356266022,0.33872726559638977,0.9973443978362613,0.4317456781864166,0.9426238536834717,1.6993035078048706
103,0.17682106085121632,0.27133122086524963,0.4038015604019165,0.38129425048828125,0.9883402602540122,0.5657747387886047,0.9718717932701111,1.647796869277954
104,0.1921382386237383,0.2786235213279724,0.4221400022506714,0.3630990982055664,1.0089756217267778,0.435294508934021,0.9448458552360535,1.703754186630249
105,0.1593163022150596,0.25446051359176636,0.38400471210479736,0.33654212951660156,0.9775214609172609,0.4685285985469818,0.9442484378814697,1.688683032989502
106,0.17299904550115267,0.26178494095802307,0.400694340467453,0.32683342695236206,1.0197762896617253,0.5167586207389832,0.9793772101402283,1.6214523315429688
107,0.1613631883636117,0.2602631747722626,0.38701632618904114,0.3259166181087494,0.9553037087122599,0.451471209526062,0.9354780912399292,1.719756007194519
108,0.14947088242818912,0.24995295703411102,0.3732092082500458,0.3071961998939514,0.9780349168512557,0.4774123430252075,0.9515812397003174,1.6738601922988892
109,0.16582380073765915,0.2575858533382416,0.39121660590171814,0.3176325559616089,1.0038074553012848,0.509390115737915,0.96732097864151,1.6037814617156982
110,0.17254426429669062,0.27157062292099,0.40046387910842896,0.35678255558013916,0.939300869901975,0.45358288288116455,0.9224764704704285,1.65816330909729
111,0.17462850579371056,0.269067645072937,0.4031546711921692,0.33275189995765686,1.121149452196227,0.5899233222007751,1.0337179899215698,1.6634259223937988
112,0.23265288062393666,0.3225357234477997,0.46274545788764954,0.40006059408187866,1.0633847150537703,0.5119480490684509,0.9904353618621826,1.6747374534606934
113,0.15450406887878973,0.2603859007358551,0.37885621190071106,0.3570929169654846,0.9759760349988937,0.5265227556228638,0.9572052359580994,1.6580623388290405
