,loss,binary_accuracy,brier_score,val_loss,val_binary_accuracy,val_brier_score
0,0.04559672337770462,0.5293750166893005,0.2550865411758423,0.03310342919495371,0.6675724387168884,0.19774363934993744
1,0.03452156484127045,0.5789999961853027,0.2308628261089325,0.027517154140190944,0.7427536249160767,0.188704714179039
2,0.030112109601497652,0.6293749809265137,0.21335837244987488,0.027870425747500524,0.5063405632972717,0.2503219246864319
3,0.026987943440675736,0.6623749732971191,0.20130616426467896,0.025060487083262868,0.679347813129425,0.19532383978366852
4,0.024848349466919897,0.7011250257492065,0.1878911554813385,0.026369393285777833,0.7454710006713867,0.1772373467683792
5,0.022667971856892108,0.7317500114440918,0.17536453902721405,0.02701116751672493,0.7019927501678467,0.19292819499969482
6,0.02066929055005312,0.7582499980926514,0.1623588651418686,0.02882346151293152,0.8125,0.1423654705286026
7,0.019346973538398742,0.784250020980835,0.15100064873695374,0.034290913621791534,0.8106883764266968,0.14128148555755615
8,0.01802483793348074,0.8008750081062317,0.14294685423374176,0.027046228293329477,0.8333333134651184,0.125623419880867
9,0.016350351490080357,0.8257499933242798,0.1287899911403656,0.029214800568297505,0.8188405632972717,0.13287895917892456
10,0.015138058200478553,0.8388749957084656,0.11975359171628952,0.02860513272591763,0.8333333134651184,0.12061929702758789
11,0.01402551582455635,0.8576250076293945,0.11128135770559311,0.04013617538536588,0.8487318754196167,0.10657507926225662
12,0.011440467040985823,0.8859999775886536,0.09587766230106354,0.032246075881024204,0.8170289993286133,0.12938342988491058
13,0.0107114139162004,0.8961250185966492,0.0874948799610138,0.03708135119328896,0.8505434989929199,0.10718045383691788
14,0.00971425646916032,0.9128749966621399,0.07784824073314667,0.03578208459334241,0.8324275612831116,0.11789022386074066
15,0.009542729984968901,0.9112499952316284,0.0762985423207283,0.03931726057392856,0.8224637508392334,0.12199536710977554
16,0.009660359747707844,0.9139999747276306,0.07644988596439362,0.07095058679179703,0.9039855003356934,0.06978044658899307
17,0.008034256784245372,0.922124981880188,0.0679396316409111,0.05326223086255292,0.8849637508392334,0.08267762511968613
18,0.007526313623413444,0.9338750243186951,0.06027533859014511,0.046347551914449364,0.823369562625885,0.12489695101976395
19,0.007511517018079758,0.9318749904632568,0.0606137178838253,0.053820889870015286,0.8822463750839233,0.08070199191570282
20,0.006929875090718269,0.9357500076293945,0.05676303431391716,0.04793311146527736,0.8623188138008118,0.09431221336126328
21,0.0059930871808901425,0.9478750228881836,0.05022469535470009,0.059642375011915445,0.8894927501678467,0.07434957474470139
22,0.006187436875887215,0.9458749890327454,0.04946567490696907,0.06453349382758865,0.9003623127937317,0.07086776196956635
23,0.005662589605897665,0.9538750052452087,0.044865332543849945,0.13119206389092142,0.8994565010070801,0.07295980304479599
