,loss,binary_accuracy,brier_score,val_loss,val_binary_accuracy,val_brier_score
0,0.10300680861259118,0.6295071840286255,0.23803527653217316,0.05795452682874524,0.8978365659713745,0.0838485136628151
1,0.07086152812609306,0.7293669581413269,0.18012015521526337,0.04038707403322825,0.8990384340286255,0.07488313317298889
2,0.057804216702397056,0.7749398946762085,0.15240617096424103,0.0363381878616145,0.913161039352417,0.06881176680326462
3,0.050147215429788984,0.8028846383094788,0.135941743850708,0.02840074388167033,0.889723539352417,0.0791306346654892
4,0.0475902319049988,0.8100961446762085,0.13105516135692596,0.030062711188712947,0.8855168223381042,0.07799112051725388
5,0.040306116454303265,0.8293269276618958,0.11862287670373917,0.028145260392473295,0.9005408883094788,0.07391960918903351
6,0.037331133030163936,0.8392428159713745,0.11315010488033295,0.027981204338944875,0.8362379670143127,0.11054183542728424
7,0.038921793922781944,0.842848539352417,0.11168313771486282,0.025459851854695723,0.8188101053237915,0.12177543342113495
8,0.034239292240295656,0.8522636294364929,0.10636278241872787,0.026424906968783874,0.8813101053237915,0.08330429345369339
9,0.03214195759919209,0.8561698794364929,0.10343600809574127,0.024226891772391703,0.9005408883094788,0.07105846703052521
10,0.02893885976085678,0.8688902258872986,0.09523265808820724,0.025059041585056827,0.9125601053237915,0.06359589844942093
11,0.026623430805137523,0.8697916865348816,0.09517360478639603,0.025582407099696305,0.856370210647583,0.09454497694969177
12,0.02794069418301567,0.8665865659713745,0.09626082330942154,0.023524635328123204,0.864182710647583,0.09034561365842819
13,0.026916165083933335,0.8747996687889099,0.09253744035959244,0.024290048982948065,0.9056490659713745,0.07042849808931351
14,0.024905718457049284,0.8757011294364929,0.09026671946048737,0.023097193979013424,0.8918269276618958,0.07492329925298691
15,0.02271163945969863,0.8834134340286255,0.08569280803203583,0.02200951287522912,0.8804086446762085,0.08299433439970016
16,0.021213829397964172,0.8883213400840759,0.08364169299602509,0.03103318427187892,0.9182692170143127,0.060747746378183365
17,0.02173837738780257,0.8947315812110901,0.08105534315109253,0.027442499511660293,0.9104567170143127,0.06507721543312073
18,0.021167002176531613,0.8875200152397156,0.08346941322088242,0.021894604970629398,0.8831129670143127,0.08240414410829544
19,0.01957172703427764,0.8981370329856873,0.07786200195550919,0.021486882980053242,0.8647836446762085,0.09362892806529999
20,0.01927173229603049,0.8986378312110901,0.07782716304063797,0.021764579479797527,0.8786057829856873,0.08697322010993958
21,0.01866211526048107,0.8960336446762085,0.07763179391622543,0.02118645078287675,0.8722956776618958,0.08397158980369568
22,0.017004793223280173,0.9059495329856873,0.07303040474653244,0.028227789864803735,0.9122596383094788,0.06483285874128342
23,0.017305051430295676,0.9084535241127014,0.07168655097484589,0.028412481160977714,0.9107571840286255,0.06310564279556274
24,0.017898570202911895,0.9022436141967773,0.07408719509840012,0.027136809300058164,0.887620210647583,0.07700373232364655
25,0.017279748691436954,0.9042468070983887,0.07472875714302063,0.024431136114379533,0.8909254670143127,0.07527213543653488
26,0.015403823831524605,0.9112580418586731,0.07001693546772003,0.026236443457981713,0.8795071840286255,0.07950986176729202
27,0.016175991921231914,0.9123597741127014,0.06821291148662567,0.02927139951274372,0.9206730723381042,0.06109029799699783
28,0.014479868257274995,0.9204727411270142,0.06567778438329697,0.02728169457986951,0.91796875,0.059999383985996246
29,0.014411922544240952,0.9160656929016113,0.0647069588303566,0.034271293480952196,0.9206730723381042,0.057210829108953476
30,0.01384198314581926,0.9232772588729858,0.0615837499499321,0.04036725645598311,0.926682710647583,0.056267302483320236
31,0.014591190516232299,0.9189703464508057,0.0644107535481453,0.027111306965637665,0.8948317170143127,0.07332682609558105
32,0.012456178897991776,0.9295873641967773,0.05917418375611305,0.02917534288448783,0.913161039352417,0.06507858633995056
33,0.013977467583922239,0.9263821840286255,0.06099057197570801,0.026709916356664438,0.9185696840286255,0.061572328209877014
34,0.013445698727781955,0.9242788553237915,0.06120726466178894,0.029195718109034575,0.9164663553237915,0.06400541961193085
35,0.012459052935576974,0.926682710647583,0.0597945898771286,0.025113639815782126,0.875,0.0811137855052948
36,0.012514392075200494,0.9300881624221802,0.05803604796528816,0.02517830992404085,0.874098539352417,0.08225400745868683
37,0.011937183095142245,0.9372996687889099,0.05517265200614929,0.026071272181490295,0.90625,0.06816431134939194
38,0.012737358305364465,0.9291867017745972,0.05747300013899803,0.028901508579460475,0.7863581776618958,0.13201077282428741
39,0.010532369849104911,0.9397035241127014,0.051179710775613785,0.032975978683680296,0.91015625,0.06574644148349762
40,0.010975882046832105,0.9386017918586731,0.05255940183997154,0.027852060953871563,0.9011418223381042,0.07379000633955002
41,0.01097521493330789,0.9389022588729858,0.05123599246144295,0.0283031972626654,0.9026442170143127,0.0687939003109932
42,0.010502362187999563,0.942307710647583,0.05029262602329254,0.029668558926249925,0.9050480723381042,0.06997566670179367
43,0.010324550422433859,0.9424078464508057,0.04949362203478813,0.03093324236285228,0.8981370329856873,0.06950758397579193
44,0.010596853418227954,0.9438101053237915,0.04952806979417801,0.035070913879630655,0.9173678159713745,0.05937650054693222
45,0.010977060390779605,0.9385015964508057,0.0515313558280468,0.025459433583399423,0.875,0.08589084446430206
46,0.009740836894473968,0.9450120329856873,0.04753684625029564,0.02925953523327525,0.856370210647583,0.09485259652137756
47,0.008935427543922113,0.9511218070983887,0.04491804912686348,0.035446920790351354,0.9119591116905212,0.06494606286287308
48,0.010131101592634924,0.9467147588729858,0.046497978270053864,0.03759705007541925,0.9239783883094788,0.05624381825327873
49,0.009432877282588145,0.9497195482254028,0.04618819057941437,0.03869919772618092,0.917067289352417,0.059510987251996994
50,0.009886873229287373,0.9457131624221802,0.046853262931108475,0.037719466257840395,0.9137620329856873,0.061825770884752274
51,0.00894548818588448,0.9514222741127014,0.044089969247579575,0.041744459223432034,0.92578125,0.056965772062540054
