,loss,mae,rmse,filter_0_rmse
0,5.088634698390961,1.4482780694961548,1.8046612739562988,1.7713110446929932
1,2.5302927327156066,1.0776710510253906,1.393417477607727,1.3549281358718872
2,2.1579930528004962,0.9787540435791016,1.2869921922683716,1.1821472644805908
3,1.9194193092981975,0.9291473627090454,1.2236218452453613,1.1313722133636475
4,1.6860505882898966,0.8768635988235474,1.155137300491333,1.03667151927948
5,1.5100647568702699,0.8420127630233765,1.1106022596359253,1.018898844718933
6,1.305586409966151,0.7951381206512451,1.0478218793869019,1.0099663734436035
7,1.1657475058237712,0.7549571990966797,0.9957796335220337,0.9400079250335693
8,1.0093284595012664,0.7078213691711426,0.9342344403266907,0.8500500321388245
9,0.8818312394618988,0.666260302066803,0.8787769675254822,0.8276563286781311
10,0.8139483916759491,0.6509671211242676,0.8523694276809692,0.7958402633666992
11,0.7239729581276576,0.6173990368843079,0.8109883666038513,0.7579416632652283
12,0.6640173904101054,0.598236620426178,0.7824286818504333,0.7385899424552917
13,0.6124865400791168,0.5752415657043457,0.7525374889373779,0.6853092312812805
14,0.5749278628826141,0.5601538419723511,0.7336063385009766,0.7175765037536621
15,0.5112366493542989,0.5326301455497742,0.6939105987548828,0.6820083856582642
16,0.4928682790199916,0.5205755233764648,0.6819162964820862,0.6321915984153748
17,0.4591349657376607,0.4977377951145172,0.6582616567611694,0.6160619854927063
18,0.44715375304222105,0.49628785252571106,0.6513031125068665,0.6165773868560791
19,0.4270178297162056,0.48667073249816895,0.6367102265357971,0.5862501263618469
20,0.4102365611990293,0.4764921963214874,0.6256771087646484,0.5610971450805664
21,0.3863104160626729,0.4578874111175537,0.605714738368988,0.5653136968612671
22,0.3822976934909821,0.4543563723564148,0.6021372079849243,0.5689316391944885
23,0.3733556587497393,0.45242762565612793,0.5963095426559448,0.5599049925804138
24,0.3632792623837789,0.4484345614910126,0.5861740112304688,0.5329736471176147
25,0.34219478726387026,0.43499520421028137,0.5714830756187439,0.5507103800773621
26,0.3454944670200348,0.432660311460495,0.5725153088569641,0.5356556177139282
27,0.3443364562590917,0.43158411979675293,0.5707477927207947,0.5005443096160889
28,0.3260137022535006,0.4226815700531006,0.5572640299797058,0.5383411645889282
29,0.30853547553221383,0.4096163213253021,0.5404266119003296,0.5188896656036377
30,0.3195037466287613,0.4141070246696472,0.5488823056221008,0.5080417990684509
31,0.3105218555529912,0.41047441959381104,0.542388379573822,0.4839421510696411
