,loss,joint_damage_type_0_loss,joint_damage_type_1_loss,joint_damage_type_2_loss,joint_damage_type_3_loss,joint_damage_type_4_loss,joint_damage_type_5_loss,joint_damage_type_0_binary_accuracy,joint_damage_type_0_brier_score,joint_damage_type_1_binary_accuracy,joint_damage_type_1_brier_score,joint_damage_type_2_binary_accuracy,joint_damage_type_2_brier_score,joint_damage_type_3_binary_accuracy,joint_damage_type_3_brier_score,joint_damage_type_4_binary_accuracy,joint_damage_type_4_brier_score,joint_damage_type_5_binary_accuracy,joint_damage_type_5_brier_score
0,18.674134459760452,0.4098093509674072,0.0986507385969162,0.19955934584140778,0.1364758163690567,0.24743683636188507,0.04391809180378914,0.4702690839767456,0.4425632059574127,0.619140625,0.24634554982185364,0.7801649570465088,0.1575293391942978,0.5501301884651184,0.2686927914619446,0.8372395634651184,0.12351082265377045,0.7660590410232544,0.15435127913951874
1,2.9638914863268533,0.027823826298117638,0.04352427273988724,0.023367566987872124,0.04819226637482643,0.021353377029299736,0.019140105694532394,0.8780381679534912,0.1024707555770874,0.8226996660232544,0.14581221342086792,0.8760850429534912,0.10290741175413132,0.8220486044883728,0.15393240749835968,0.8589409589767456,0.09802921116352081,0.8723958134651184,0.10565325617790222
2,2.1290889349248676,0.02058248594403267,0.03205715864896774,0.014564494602382183,0.03726768121123314,0.01359215471893549,0.014414940029382706,0.9136284589767456,0.08694274723529816,0.87890625,0.12046894431114197,0.9175347089767456,0.08153583854436874,0.8661024570465088,0.12983588874340057,0.8990885615348816,0.07752057909965515,0.8962673544883728,0.09454643726348877
3,1.6576357616318598,0.01548193022608757,0.024447645992040634,0.01120842806994915,0.030360281467437744,0.010535553097724915,0.01116262935101986,0.9325087070465088,0.07230912148952484,0.9114583134651184,0.0979224443435669,0.9388020634651184,0.06694265455007553,0.8912760615348816,0.11139947921037674,0.9236111044883728,0.06706064939498901,0.9151475429534912,0.07756100594997406
4,1.2875679632027943,0.012010935693979263,0.018994517624378204,0.008516967296600342,0.023693721741437912,0.008110632188618183,0.008849507197737694,0.9487847089767456,0.058897316455841064,0.9338107705116272,0.07924874871969223,0.9533420205116272,0.05356341972947121,0.9181857705116272,0.09112871438264847,0.9427083134651184,0.05423879995942116,0.9372829794883728,0.06388680636882782
5,0.9730408870511584,0.009277096018195152,0.013070862740278244,0.006356590427458286,0.017933465540409088,0.006450789049267769,0.007310045883059502,0.9594184160232544,0.04691751301288605,0.9592013955116272,0.05975542962551117,0.9639756679534912,0.042244330048561096,0.9450954794883728,0.07284947484731674,0.9498698115348816,0.04571996629238129,0.9440104365348816,0.05352909862995148
6,0.764970236354404,0.007374351378530264,0.01026979647576809,0.005049217026680708,0.01354383584111929,0.005397347267717123,0.0057616461999714375,0.9709201455116272,0.03937344253063202,0.9711371660232544,0.048708781599998474,0.9724392294883728,0.034971341490745544,0.9615885615348816,0.05834980681538582,0.9639756679534912,0.038321591913700104,0.9618055820465088,0.04250717908143997
7,0.6008062238494555,0.006361623294651508,0.007803007960319519,0.003966673742979765,0.010262155905365944,0.0043393149971961975,0.004479707684367895,0.9759114384651184,0.03392556682229042,0.9791666865348816,0.03840327262878418,0.9776475429534912,0.029151668772101402,0.9750434160232544,0.04610686004161835,0.9720051884651184,0.03297005593776703,0.9702690839767456,0.03540699928998947
8,0.48111704736948013,0.0048303971998393536,0.006870081648230553,0.0031065018847584724,0.007916027680039406,0.0033313906751573086,0.003754984587430954,0.9813368320465088,0.027934381738305092,0.9828559160232544,0.033037442713975906,0.9856770634651184,0.023612888529896736,0.978515625,0.03807671740651131,0.9787326455116272,0.0268167145550251,0.9720051884651184,0.02994680032134056
9,0.3903917421897252,0.004020472522825003,0.005476657766848803,0.0026408995036035776,0.006091051734983921,0.0029947448056191206,0.002904482651501894,0.9845920205116272,0.02430454082787037,0.9861111044883728,0.028148535639047623,0.9874131679534912,0.020558610558509827,0.9852430820465088,0.031058302149176598,0.9815537929534912,0.024006284773349762,0.9798176884651184,0.0252210833132267
10,0.3123076380127006,0.003563215024769306,0.004142319783568382,0.0021911459043622017,0.004766872152686119,0.0021731029264628887,0.0024660169146955013,0.9874131679534912,0.02081279270350933,0.9904513955116272,0.02239111438393593,0.9898003339767456,0.017320191487669945,0.9895833134651184,0.025184664875268936,0.9867621660232544,0.020205216482281685,0.9835069179534912,0.022094566375017166
11,0.2488570229874717,0.0028489003889262676,0.0035071121528744698,0.001549460575915873,0.00383572606369853,0.001892018597573042,0.001793844043277204,0.9919704794883728,0.018215583637356758,0.9928385615348816,0.019848449155688286,0.994140625,0.014166469685733318,0.9928385615348816,0.02197478525340557,0.9884982705116272,0.017519891262054443,0.9887152910232544,0.017431221902370453
12,0.2033517983638578,0.002054044511169195,0.0026617972180247307,0.0015357134398072958,0.0032170491758733988,0.001501415390521288,0.0015642405487596989,0.9939236044883728,0.015495260246098042,0.9939236044883728,0.016525477170944214,0.9934895634651184,0.012673740275204182,0.9917534589767456,0.019528254866600037,0.9915364384651184,0.014922155067324638,0.9915364384651184,0.014723620377480984
13,0.17242760273317495,0.0021326516289263964,0.0023566691670566797,0.0011411074083298445,0.00261806882917881,0.0011776798637583852,0.0012712178286165,0.9950087070465088,0.014194879680871964,0.9945746660232544,0.014136794954538345,0.9952256679534912,0.011001375503838062,0.9947916865348816,0.01617998629808426,0.9950087070465088,0.01215803250670433,0.9939236044883728,0.013540339656174183
14,0.15169168615506756,0.0017733217682689428,0.0020533641800284386,0.0011140786809846759,0.0024432679638266563,0.0010019880719482899,0.0010280621936544776,0.9952256679534912,0.012631237506866455,0.9958767294883728,0.012897506356239319,0.9945746660232544,0.009897728450596333,0.9950087070465088,0.015041225589811802,0.9958767294883728,0.011235776357352734,0.9963107705116272,0.011858988553285599
15,0.1405812574343549,0.0014492274494841695,0.0018763835541903973,0.0011883957777172327,0.002155824564397335,0.0009412486106157303,0.0010536136105656624,0.9954426884651184,0.010764878243207932,0.9971787929534912,0.011714266613125801,0.9950087070465088,0.00985106360167265,0.9954426884651184,0.013390381820499897,0.9952256679534912,0.01058442983776331,0.9954426884651184,0.01144951581954956
16,0.11539862118661404,0.0011463669361546636,0.0012656266335397959,0.0008075604564510286,0.0023774367291480303,0.0008286885567940772,0.0007395963766612113,0.9973958134651184,0.008949778974056244,0.998046875,0.009419601410627365,0.9967448115348816,0.008139219135046005,0.9947916865348816,0.012564274482429028,0.9967448115348816,0.009280609898269176,0.9976128339767456,0.00874884333461523
17,0.10103344430940019,0.0009813900105655193,0.0015360481338575482,0.0008759755291976035,0.0012370697222650051,0.0007363993790932,0.0008266703225672245,0.9976128339767456,0.008322595618665218,0.9969618320465088,0.009572764858603477,0.9965277910232544,0.0076013472862541676,0.998046875,0.009347398765385151,0.9963107705116272,0.008745362050831318,0.9967448115348816,0.009060035459697247
18,0.10224860358155435,0.0011388955172151327,0.001272441353648901,0.0008585596224293113,0.0016042456263676286,0.00079601991456002,0.000637139892205596,0.9973958134651184,0.008425789885222912,0.9978298544883728,0.008468147367238998,0.9969618320465088,0.007568558678030968,0.9976128339767456,0.00947414617985487,0.9967448115348816,0.008692588657140732,0.9969618320465088,0.008319488726556301
19,0.06772120431479481,0.0007905684178695083,0.0007762442110106349,0.0005230919923633337,0.0009948128135874867,0.0005640293238684535,0.0005108872428536415,0.9984809160232544,0.006873161531984806,0.9986979365348816,0.006773967761546373,0.9984809160232544,0.0059028188697993755,0.9989149570465088,0.007721963804215193,0.9973958134651184,0.007434546016156673,0.9973958134651184,0.006966535467654467
20,0.06745552209516366,0.0006582676433026791,0.000806042633485049,0.00045429941383190453,0.0012844265438616276,0.00048611193778924644,0.0004900143248960376,0.9984809160232544,0.006068292539566755,0.9989149570465088,0.006348653230816126,0.9984809160232544,0.005507342051714659,0.9971787929534912,0.007510903757065535,0.9973958134651184,0.006737636402249336,0.998046875,0.00640982948243618
21,0.06374054205500418,0.0008161038276739419,0.0007246144232340157,0.0004804540076293051,0.0008306738454848528,0.0005457584047690034,0.0005103145376779139,0.9978298544883728,0.006629982963204384,0.9991319179534912,0.006036713253706694,0.998046875,0.005721669644117355,0.9991319179534912,0.006940072402358055,0.9984809160232544,0.006898925174027681,0.9982638955116272,0.0062010749243199825
22,0.07440496298174064,0.0008207811042666435,0.0007709467317909002,0.0005932157509960234,0.0012958901934325695,0.0005909989704377949,0.0005116410902701318,0.998046875,0.006983616389334202,0.9982638955116272,0.00574473524466157,0.9982638955116272,0.005785124376416206,0.9971787929534912,0.007567224558442831,0.9973958134651184,0.0070966631174087524,0.9971787929534912,0.006621523294597864
23,0.05892672425963812,0.0005403838586062193,0.0009002211736515164,0.0004523085954133421,0.0009747155709192157,0.00039657007437199354,0.0003891348897013813,0.9984809160232544,0.005281401798129082,0.9978298544883728,0.0060613336972892284,0.9989149570465088,0.0048921434208750725,0.9986979365348816,0.006857425440102816,0.998046875,0.005472758784890175,0.9989149570465088,0.0054499986581504345
24,0.04462818020126886,0.0004911690484732389,0.0005800464423373342,0.00031315808882936835,0.0007079963106662035,0.000293551420327276,0.00037183609674684703,0.9986979365348816,0.004658227786421776,0.9993489384651184,0.00474624102935195,0.9997829794883728,0.003959255758672953,0.9993489384651184,0.005552424117922783,0.9997829794883728,0.004427650012075901,0.9989149570465088,0.004886459559202194
25,0.05818560988538795,0.0006162791978567839,0.000966709922067821,0.0005140474531799555,0.0007207454182207584,0.0004637820820789784,0.00031105722882784903,0.9978298544883728,0.005591962486505508,0.9976128339767456,0.00581371458247304,0.9976128339767456,0.005134615581482649,0.9986979365348816,0.005889172200113535,0.9982638955116272,0.00568117992952466,0.9984809160232544,0.005027472972869873
26,0.04167345926786462,0.000526107382029295,0.0006823171279393137,0.0002858119842130691,0.0006149715045467019,0.00028223067056387663,0.00021318570361472666,0.9993489384651184,0.004740281030535698,0.998046875,0.004753813613206148,0.9997829794883728,0.003757051657885313,0.9991319179534912,0.0051322756335139275,0.9989149570465088,0.004573901183903217,0.9993489384651184,0.0037126110401004553
27,0.04186604482432207,0.00043846407788805664,0.000647322740405798,0.0002949432237073779,0.0006094996933825314,0.00028722351999022067,0.00031438295263797045,0.9993489384651184,0.003755374811589718,0.9986979365348816,0.004782419186085463,0.9991319179534912,0.0040079946629703045,0.9991319179534912,0.004930761642754078,0.9991319179534912,0.004248805809766054,0.9989149570465088,0.004279354587197304
28,0.04325452446937561,0.0005167301860637963,0.0006748404703103006,0.0002810465812217444,0.0006620071362704039,0.00027134682750329375,0.00029038055799901485,0.9986979365348816,0.004331035539507866,0.9991319179534912,0.004721795208752155,0.9993489384651184,0.003391728736460209,0.9989149570465088,0.005021050572395325,0.9993489384651184,0.004184091929346323,0.9991319179534912,0.004040369298309088
29,0.036645425509454474,0.0003820064302999526,0.0006597075844183564,0.00021159090101718903,0.0005104766460135579,0.00025494370493106544,0.00026233255630359054,0.9997829794883728,0.004198581911623478,0.9989149570465088,0.004025557544082403,0.9995659589767456,0.0032573179341852665,0.9989149570465088,0.004149247892200947,0.9993489384651184,0.0038407465908676386,0.9986979365348816,0.003919809125363827
30,0.029771024801044002,0.0003779438557103276,0.00033821648685261607,0.00026475090999156237,0.00040212838212028146,0.0002577539416961372,0.00018640579946804792,0.9989149570465088,0.003814422758296132,1.0,0.0035830202978104353,0.9993489384651184,0.003710801713168621,0.9997829794883728,0.003792570671066642,0.9993489384651184,0.004043619614094496,0.9991319179534912,0.003509330563247204
31,0.02217740151617262,0.0003221246297471225,0.00026583854923956096,0.00014153304800856858,0.0003237540659029037,0.00019235890067648143,0.0001298340066568926,0.9989149570465088,0.003363443538546562,1.0,0.0028701848350465298,1.0,0.002538397442549467,0.9997829794883728,0.003386514261364937,0.9995659589767456,0.003439960302785039,0.9997829794883728,0.0027024480514228344
32,0.024127622911085684,0.00028608189313672483,0.0002657997247297317,0.0001617270172573626,0.0004143760015722364,0.00019111721485387534,0.00017263356130570173,0.9995659589767456,0.003185973735526204,1.0,0.0030323911923915148,1.0,0.0026969502214342356,0.9995659589767456,0.0036823702976107597,0.9995659589767456,0.00337114161811769,0.9995659589767456,0.0030390184838324785
33,0.028488334190721314,0.00030178375891409814,0.0006229658611118793,0.0001691939978627488,0.0003562892379704863,0.00018000000272877514,0.00015659240307286382,0.9995659589767456,0.0029863978270441294,0.9991319179534912,0.0038147468585520983,0.9995659589767456,0.002667105756700039,0.9993489384651184,0.003194298129528761,0.9993489384651184,0.0030675576999783516,0.9995659589767456,0.002995896153151989
34,0.021437652732452586,0.00024921170552261174,0.0003139942418783903,0.00016926712123677135,0.0002729737898334861,0.00017230793309863657,0.00014360436762217432,0.9997829794883728,0.0030623567290604115,0.9995659589767456,0.0030739002395421267,0.9993489384651184,0.002574786776676774,1.0,0.002894463948905468,0.9995659589767456,0.0031513867434114218,0.9995659589767456,0.002755484776571393
35,0.01896454353765067,0.00020403960661496967,0.00027351814787834883,0.00010979568469338119,0.00031324056908488274,0.00015431952488142997,0.00012329767923802137,0.9995659589767456,0.002536335727199912,0.9995659589767456,0.0024754595942795277,0.9997829794883728,0.0021522818133234978,1.0,0.003188628237694502,0.9997829794883728,0.0029440363869071007,0.9995659589767456,0.002604242181405425
