,loss,reg_output_0_loss,reg_output_1_loss,reg_output_2_loss,reg_output_3_loss,reg_output_4_loss,reg_output_5_loss,reg_output_0_mae,reg_output_0_rmse,reg_output_0_filter_0_rmse,reg_output_1_mae,reg_output_1_rmse,reg_output_1_filter_0_rmse,reg_output_2_mae,reg_output_2_rmse,reg_output_2_filter_0_rmse,reg_output_3_mae,reg_output_3_rmse,reg_output_3_filter_0_rmse,reg_output_4_mae,reg_output_4_rmse,reg_output_4_filter_0_rmse,reg_output_5_mae,reg_output_5_rmse,reg_output_5_filter_0_rmse
46,0.6554582009712855,0.12199976295232773,0.11586754769086838,0.09990398585796356,0.11497683078050613,0.10264261066913605,0.10006749629974365,0.19347095489501953,0.3278931975364685,0.42885181307792664,0.19701923429965973,0.3225850760936737,0.39947205781936646,0.14533010125160217,0.2847955822944641,0.4188228249549866,0.19287902116775513,0.30851155519485474,0.3754228949546814,0.14744353294372559,0.30488020181655884,0.46672141551971436,0.1421746164560318,0.2980017066001892,0.47963544726371765
47,0.6505413813723459,0.11795936524868011,0.11332666873931885,0.09740152209997177,0.12164273858070374,0.10391892492771149,0.09629210084676743,0.18674153089523315,0.32053351402282715,0.4126724600791931,0.1930142045021057,0.3177846372127533,0.38640522956848145,0.1435331553220749,0.2819727063179016,0.40808165073394775,0.19490042328834534,0.3165174126625061,0.3554932773113251,0.14838536083698273,0.306073933839798,0.49839863181114197,0.1394997388124466,0.2922537922859192,0.45436909794807434
48,0.6524780412515004,0.11667289584875107,0.11573239415884018,0.10025806725025177,0.12035414576530457,0.1013621836900711,0.09809842705726624,0.1916649341583252,0.31910383701324463,0.411233127117157,0.1962888240814209,0.3198634684085846,0.38929590582847595,0.149754136800766,0.28493499755859375,0.4027678072452545,0.19713546335697174,0.31279516220092773,0.3792731761932373,0.14909380674362183,0.30246591567993164,0.47398021817207336,0.14129813015460968,0.29585564136505127,0.4774925112724304
49,0.5964415666129854,0.10649623721837997,0.10961668938398361,0.09115789085626602,0.10444660484790802,0.0954953283071518,0.08922882378101349,0.1779995560646057,0.30379074811935425,0.3763655424118042,0.19072887301445007,0.31350770592689514,0.37625500559806824,0.1397036761045456,0.27416637539863586,0.3935595750808716,0.18201014399528503,0.29568901658058167,0.33612391352653503,0.1427658349275589,0.29364779591560364,0.4636602997779846,0.1328626424074173,0.2817768156528473,0.4377339780330658
50,0.6436862077977922,0.11415451765060425,0.112942174077034,0.09725673496723175,0.11893513798713684,0.10331834852695465,0.09707928448915482,0.18612295389175415,0.314910888671875,0.39217469096183777,0.1947048157453537,0.317186564207077,0.38299891352653503,0.14650480449199677,0.28305548429489136,0.41922882199287415,0.19509316980838776,0.31166887283325195,0.35766729712486267,0.15162920951843262,0.3046424090862274,0.48367801308631897,0.14143729209899902,0.2925606966018677,0.4733884632587433
51,0.604114016228252,0.10713579505681992,0.1069229245185852,0.09145350009202957,0.10885336995124817,0.09695378690958023,0.09279458969831467,0.18003913760185242,0.30703821778297424,0.3937707245349884,0.19122180342674255,0.3089761435985565,0.3677287697792053,0.1400974839925766,0.27085110545158386,0.3748379051685333,0.18744894862174988,0.30127304792404175,0.3463563919067383,0.14526544511318207,0.293958842754364,0.4503597319126129,0.13649821281433105,0.28642499446868896,0.45546478033065796
52,0.5846379730436537,0.10102386772632599,0.10381336510181427,0.08900074660778046,0.1033560112118721,0.09673994034528732,0.0907040610909462,0.17276303470134735,0.2964482307434082,0.3881268799304962,0.18352697789669037,0.3041706681251526,0.3741673231124878,0.13685034215450287,0.26778075098991394,0.39323583245277405,0.18075576424598694,0.2920302748680115,0.3465065360069275,0.1450234055519104,0.29492872953414917,0.4860248267650604,0.13476820290088654,0.28329309821128845,0.4500987231731415
53,0.5900578422678842,0.10493265092372894,0.10370906442403793,0.08647920191287994,0.10301361232995987,0.09888992458581924,0.09303338825702667,0.17611131072044373,0.30113136768341064,0.3920256793498993,0.1856907457113266,0.3025535047054291,0.3650890290737152,0.13569463789463043,0.2665918171405792,0.3931702971458435,0.17993205785751343,0.2900000810623169,0.3576878309249878,0.14657612144947052,0.29783615469932556,0.45743072032928467,0.13517631590366364,0.2849463224411011,0.4478626251220703
54,0.5813774208227793,0.10069513320922852,0.10101217776536942,0.08758058398962021,0.10292764008045197,0.09846094250679016,0.09070097655057907,0.17543409764766693,0.29658329486846924,0.3925457000732422,0.18365629017353058,0.29797181487083435,0.35687434673309326,0.13816212117671967,0.2659761309623718,0.39886754751205444,0.18175937235355377,0.29101261496543884,0.3352321982383728,0.14746499061584473,0.2967980206012726,0.46462833881378174,0.1327826827764511,0.27887576818466187,0.45044416189193726
55,0.6104671289523442,0.10889852046966553,0.10563356429338455,0.0945841372013092,0.1126641035079956,0.09946045279502869,0.0892263650894165,0.18102921545505524,0.3077298402786255,0.4205343425273895,0.18594898283481598,0.30398181080818176,0.37773099541664124,0.14360393583774567,0.27656739950180054,0.41689684987068176,0.18678340315818787,0.3031005859375,0.36957597732543945,0.14730527997016907,0.2970232665538788,0.4688658118247986,0.13471092283725739,0.28041794896125793,0.4527297019958496
56,0.5543747699922985,0.09715157747268677,0.09464303404092789,0.08374816924333572,0.09613208472728729,0.09691821038722992,0.08578165620565414,0.16962629556655884,0.29039478302001953,0.3783353567123413,0.1759698987007141,0.28777843713760376,0.3521345257759094,0.1355079710483551,0.26137879490852356,0.38615185022354126,0.17212605476379395,0.2798171043395996,0.3488389849662781,0.1448119729757309,0.29356539249420166,0.4721522033214569,0.1305251270532608,0.27310192584991455,0.43934187293052673
57,0.5868298563692305,0.10288221389055252,0.10433334857225418,0.0878603383898735,0.10656293481588364,0.09576278179883957,0.08942817151546478,0.1737881898880005,0.29683196544647217,0.37703555822372437,0.18566523492336273,0.3013278841972351,0.36844271421432495,0.1377190202474594,0.2667679190635681,0.4046878516674042,0.18260453641414642,0.29585498571395874,0.341429203748703,0.14397267997264862,0.2917822003364563,0.47848016023635864,0.1317233145236969,0.27941158413887024,0.4586426615715027
