,loss,mae,rmse,filter_0_rmse,val_loss,val_mae,val_rmse,val_filter_0_rmse
0,2.7950112924575805,1.1740288734436035,1.6271071434020996,1.7868424654006958,1.462259183327357,0.8893314003944397,1.1292154788970947,1.256772518157959
1,1.8390641646385193,0.966744601726532,1.3329617977142334,1.3570719957351685,1.1414066288206313,0.6184114217758179,0.9292119145393372,1.265019178390503
2,1.4078706121444702,0.8448277115821838,1.168237566947937,1.232603907585144,1.0534434484110937,0.6573295593261719,0.9404991865158081,1.2074427604675293
3,1.11024831867218,0.7580284476280212,1.0375946760177612,1.0710768699645996,0.9000590567787489,0.6128736734390259,0.8683551549911499,1.1561832427978516
4,0.9226899456977844,0.6828224658966064,0.9454387426376343,1.0320096015930176,0.9812903470463223,0.626236617565155,0.9015772938728333,1.159208059310913
5,0.7968278794288636,0.634488046169281,0.8779804706573486,0.9238634705543518,0.9470803141593933,0.5984750986099243,0.8857905268669128,1.164477825164795
6,0.7144266171455383,0.6003878116607666,0.8298607468605042,0.8731154203414917,0.9038853405250443,0.5870216488838196,0.8730342388153076,1.180407166481018
7,0.6409258258342743,0.5661236047744751,0.7840290665626526,0.824978232383728,0.8641876214080386,0.47021833062171936,0.8069911599159241,1.2002205848693848
8,0.5709990875720978,0.53482586145401,0.7441242337226868,0.7479847073554993,0.8212148464388318,0.5309913158416748,0.8196194171905518,1.1660782098770142
9,0.5420406736135482,0.5175939798355103,0.7215372920036316,0.7506985068321228,0.80349293930663,0.4786495566368103,0.7995264530181885,1.1803722381591797
10,0.508066929936409,0.49463188648223877,0.7015654444694519,0.7250615954399109,0.9545088791184955,0.47870704531669617,0.8368421196937561,1.202467441558838
11,0.4820187479257584,0.47508227825164795,0.6752552390098572,0.7322907447814941,0.789506635732121,0.36694666743278503,0.7352546453475952,1.1908460855484009
12,0.48905584836006166,0.47521522641181946,0.6822863221168518,0.7178022265434265,0.7848499320033524,0.36868125200271606,0.7336183786392212,1.2048310041427612
13,0.4430186957120895,0.4518530070781708,0.6539520025253296,0.7151919603347778,0.803801988148027,0.3624536097049713,0.7466966509819031,1.2054582834243774
14,0.3967619366645813,0.42280545830726624,0.6157771944999695,0.6571932435035706,0.8354628851844205,0.3527800738811493,0.7330877184867859,1.2250455617904663
15,0.37973199474811553,0.410714715719223,0.6014754772186279,0.6512473225593567,0.7611496390567886,0.3807677924633026,0.7367147207260132,1.1737605333328247
16,0.37220139348506925,0.40205398201942444,0.593845784664154,0.6500775814056396,0.7312027116616567,0.32145851850509644,0.6994006633758545,1.220577359199524
17,0.34251658046245576,0.38783028721809387,0.5716838240623474,0.5928327441215515,0.8291081430183517,0.3224402666091919,0.7175382375717163,1.2669907808303833
